Precision,Batch Size,Peak VRAM (MB),Latency (ms/batch),Throughput (Patches/sec),Accuracy (%),Status
PyTorch,16,4672.94,8.60,1860.13,46.41,OK
PyTorch,32,4685.85,11.06,2893.39,46.41,OK
PyTorch,64,4677.52,22.24,2878.10,46.41,OK
PyTorch,128,4679.98,45.32,2824.25,46.41,OK
PyTorch,256,4678.62,89.71,2853.76,46.41,OK
PyTorch,512,4976.38,179.22,2856.89,46.41,OK
FP32,16,4881.07,2.82,5665.70,46.41,OK
FP32,32,4884.82,5.29,6047.85,46.41,OK
FP32,64,4970.25,10.47,6113.08,46.41,OK
FP32,128,4973.14,21.51,5950.37,46.41,OK
FP32,256,4991.68,41.93,6105.05,46.41,OK
FP32,512,N/A,N/A,N/A,N/A,Engine Not Found
FP16,16,5033.35,1.82,8770.44,46.41,OK
FP16,32,5036.02,3.31,9669.48,46.41,OK
FP16,64,5036.41,6.20,10324.14,45.86,OK
FP16,128,5030.27,13.21,9691.95,46.41,OK
FP16,256,5029.05,24.25,10558.01,46.41,OK
FP16,512,5041.11,49.23,10399.91,45.80,OK
INT8,16,5049.82,1.85,8652.27,46.41,OK
INT8,32,5047.60,3.33,9595.87,46.42,OK
INT8,64,5056.45,6.28,10184.86,46.41,OK
INT8,128,5062.38,12.95,9882.69,46.41,OK
INT8,256,5064.84,24.02,10656.67,46.41,OK
INT8,512,N/A,N/A,N/A,N/A,Engine Not Found
